Cause Of Conflict (Long),Comment,Dates,End Year,Link,Notes On Targeted Peoples Figures,NULL Highlight,Parameter - Size Sort by,Parameter - Sort by in dashboard,Selected Conflict,Senseless / Conflict Deaths,Size Of Conflict,Source,Start Year,Summary,Tooltip - year(s) plural/singular,Type Of Conflict,Type Of Conflict2,Wikipedia Link,YEARS OF CONFLICT,Deaths,Deaths As % Of Targeted Peoples,Duration Of Conflict,How Many Years?,Months (For Wars <3 Years),No. Targeted Peoples,Size Of Conflict As Integer
"US troops were deployed into Afghanistan with the goal of finding Osama bin Laden, who the US accused of perpetrating the 9/11 attacks in New York.",does not include taliban deaths - no reliable estimate,2001- present (2013),2013,http://costsofwar.org/article/afghan-civilians,"Including population of affected region 2001, plus international troops. 
Population: 20,531,200
ISAF troops: 18,000
Military contractors: 20,000",,,,False,WAR IN AFGHANISTAN (2001-14),GLOBAL,"Wikipedia, Cost of War project",2001,US troops were deployed to find Osama bin Laden and battle the Islamist Taliban who gave haven to Al Qaeda.,years,WAR,anti-terror,http://en.wikipedia.org/wiki/War_in_Afghanistan_(2001%E2%80%93present),2005,50000,0.2%,12,12,144,20569200,8
"US troops were deployed into Afghanistan with the goal of finding Osama bin Laden, who the US accused of perpetrating the 9/11 attacks in New York.",does not include taliban deaths - no reliable estimate,2001- present (2013),2013,http://costsofwar.org/article/afghan-civilians,"Including population of affected region 2001, plus international troops. 
Population: 20,531,200
ISAF troops: 18,000
Military contractors: 20,000",,,,False,WAR IN AFGHANISTAN (2001-14),GLOBAL,"Wikipedia, Cost of War project",2001,US troops were deployed to find Osama bin Laden and battle the Islamist Taliban who gave haven to Al Qaeda.,years,WAR,anti-terror,http://en.wikipedia.org/wiki/War_in_Afghanistan_(2001%E2%80%93present),2006,50000,0.2%,12,12,144,20569200,8
"US troops were deployed into Afghanistan with the goal of finding Osama bin Laden, who the US accused of perpetrating the 9/11 attacks in New York.",does not include taliban deaths - no reliable estimate,2001- present (2013),2013,http://costsofwar.org/article/afghan-civilians,"Including population of affected region 2001, plus international troops. 
Population: 20,531,200
ISAF troops: 18,000
Military contractors: 20,000",,,,False,WAR IN AFGHANISTAN (2001-14),GLOBAL,"Wikipedia, Cost of War project",2001,US troops were deployed to find Osama bin Laden and battle the Islamist Taliban who gave haven to Al Qaeda.,years,WAR,anti-terror,http://en.wikipedia.org/wiki/War_in_Afghanistan_(2001%E2%80%93present),2007,50000,0.2%,12,12,144,20569200,8
"US troops were deployed into Afghanistan with the goal of finding Osama bin Laden, who the US accused of perpetrating the 9/11 attacks in New York.",does not include taliban deaths - no reliable estimate,2001- present (2013),2013,http://costsofwar.org/article/afghan-civilians,"Including population of affected region 2001, plus international troops. 
Population: 20,531,200
ISAF troops: 18,000
Military contractors: 20,000",,,,False,WAR IN AFGHANISTAN (2001-14),GLOBAL,"Wikipedia, Cost of War project",2001,US troops were deployed to find Osama bin Laden and battle the Islamist Taliban who gave haven to Al Qaeda.,years,WAR,anti-terror,http://en.wikipedia.org/wiki/War_in_Afghanistan_(2001%E2%80%93present),2008,50000,0.2%,12,12,144,20569200,8
"US troops were deployed into Afghanistan with the goal of finding Osama bin Laden, who the US accused of perpetrating the 9/11 attacks in New York.",does not include taliban deaths - no reliable estimate,2001- present (2013),2013,http://costsofwar.org/article/afghan-civilians,"Including population of affected region 2001, plus international troops. 
Population: 20,531,200
ISAF troops: 18,000
Military contractors: 20,000",,,,False,WAR IN AFGHANISTAN (2001-14),GLOBAL,"Wikipedia, Cost of War project",2001,US troops were deployed to find Osama bin Laden and battle the Islamist Taliban who gave haven to Al Qaeda.,years,WAR,anti-terror,http://en.wikipedia.org/wiki/War_in_Afghanistan_(2001%E2%80%93present),2009,50000,0.2%,12,12,144,20569200,8
"US troops were deployed into Afghanistan with the goal of finding Osama bin Laden, who the US accused of perpetrating the 9/11 attacks in New York.",does not include taliban deaths - no reliable estimate,2001- present (2013),2013,http://costsofwar.org/article/afghan-civilians,"Including population of affected region 2001, plus international troops. 
Population: 20,531,200
ISAF troops: 18,000
Military contractors: 20,000",,,,False,WAR IN AFGHANISTAN (2001-14),GLOBAL,"Wikipedia, Cost of War project",2001,US troops were deployed to find Osama bin Laden and battle the Islamist Taliban who gave haven to Al Qaeda.,years,WAR,anti-terror,http://en.wikipedia.org/wiki/War_in_Afghanistan_(2001%E2%80%93present),2010,50000,0.2%,12,12,144,20569200,8
"US troops were deployed into Afghanistan with the goal of finding Osama bin Laden, who the US accused of perpetrating the 9/11 attacks in New York.",does not include taliban deaths - no reliable estimate,2001- present (2013),2013,http://costsofwar.org/article/afghan-civilians,"Including population of affected region 2001, plus international troops. 
Population: 20,531,200
ISAF troops: 18,000
Military contractors: 20,000",,,,False,WAR IN AFGHANISTAN (2001-14),GLOBAL,"Wikipedia, Cost of War project",2001,US troops were deployed to find Osama bin Laden and battle the Islamist Taliban who gave haven to Al Qaeda.,years,WAR,anti-terror,http://en.wikipedia.org/wiki/War_in_Afghanistan_(2001%E2%80%93present),2011,50000,0.2%,12,12,144,20569200,8
"US troops were deployed into Afghanistan with the goal of finding Osama bin Laden, who the US accused of perpetrating the 9/11 attacks in New York.",does not include taliban deaths - no reliable estimate,2001- present (2013),2013,http://costsofwar.org/article/afghan-civilians,"Including population of affected region 2001, plus international troops. 
Population: 20,531,200
ISAF troops: 18,000
Military contractors: 20,000",,,,False,WAR IN AFGHANISTAN (2001-14),GLOBAL,"Wikipedia, Cost of War project",2001,US troops were deployed to find Osama bin Laden and battle the Islamist Taliban who gave haven to Al Qaeda.,years,WAR,anti-terror,http://en.wikipedia.org/wiki/War_in_Afghanistan_(2001%E2%80%93present),2012,50000,0.2%,12,12,144,20569200,8
"US troops were deployed into Afghanistan with the goal of finding Osama bin Laden, who the US accused of perpetrating the 9/11 attacks in New York.",does not include taliban deaths - no reliable estimate,2001- present (2013),2013,http://costsofwar.org/article/afghan-civilians,"Including population of affected region 2001, plus international troops. 
Population: 20,531,200
ISAF troops: 18,000
Military contractors: 20,000",,,,False,WAR IN AFGHANISTAN (2001-14),GLOBAL,"Wikipedia, Cost of War project",2001,US troops were deployed to find Osama bin Laden and battle the Islamist Taliban who gave haven to Al Qaeda.,years,WAR,anti-terror,http://en.wikipedia.org/wiki/War_in_Afghanistan_(2001%E2%80%93present),2013,50000,0.2%,12,12,144,20569200,8
"Although a resurgence of imperialism was an underlying cause, the immediate trigger for war was the 28 June 1914 assassination of Archduke Franz Ferdinand of Austria, heir to the throne of Austria-Hungary, by Yugoslav nationalist Gavrilo Princip in Sarajevo. This set off a diplomatic crisis when Austria-Hungary delivered an ultimatum to the Kingdom of Serbia, and international alliances formed over the previous decades were invoked. Within weeks, the major powers were at war and the conflict soon spread around the world.",Estimate complied from various sources. Killed + prisoners / missing.,1914-1918,1918,http://www.pbs.org/greatwar/resources/casdeath_pop.html,World population 1914.,,,,False,WORLD WAR I,GLOBAL,US Department of Justice,1914,"A ruinous conflict between Britain, Russia and France on one side, Germany, Italy & Austria-Hungary on the other.",years,WAR,,http://en.wikipedia.org/wiki/World_War_I and http://en.wikipedia.org/wiki/Causes_of_World_War_I,1914,16280000,1.0%,4,4,48,1700000000,8
"Although a resurgence of imperialism was an underlying cause, the immediate trigger for war was the 28 June 1914 assassination of Archduke Franz Ferdinand of Austria, heir to the throne of Austria-Hungary, by Yugoslav nationalist Gavrilo Princip in Sarajevo. This set off a diplomatic crisis when Austria-Hungary delivered an ultimatum to the Kingdom of Serbia, and international alliances formed over the previous decades were invoked. Within weeks, the major powers were at war and the conflict soon spread around the world.",Estimate complied from various sources. Killed + prisoners / missing.,1914-1918,1918,http://www.pbs.org/greatwar/resources/casdeath_pop.html,World population 1914.,,,,False,WORLD WAR I,GLOBAL,US Department of Justice,1914,"A ruinous conflict between Britain, Russia and France on one side, Germany, Italy & Austria-Hungary on the other.",years,WAR,,http://en.wikipedia.org/wiki/World_War_I and http://en.wikipedia.org/wiki/Causes_of_World_War_I,1915,16280000,1.0%,4,4,48,1700000000,8
"Although a resurgence of imperialism was an underlying cause, the immediate trigger for war was the 28 June 1914 assassination of Archduke Franz Ferdinand of Austria, heir to the throne of Austria-Hungary, by Yugoslav nationalist Gavrilo Princip in Sarajevo. This set off a diplomatic crisis when Austria-Hungary delivered an ultimatum to the Kingdom of Serbia, and international alliances formed over the previous decades were invoked. Within weeks, the major powers were at war and the conflict soon spread around the world.",Estimate complied from various sources. Killed + prisoners / missing.,1914-1918,1918,http://www.pbs.org/greatwar/resources/casdeath_pop.html,World population 1914.,,,,False,WORLD WAR I,GLOBAL,US Department of Justice,1914,"A ruinous conflict between Britain, Russia and France on one side, Germany, Italy & Austria-Hungary on the other.",years,WAR,,http://en.wikipedia.org/wiki/World_War_I and http://en.wikipedia.org/wiki/Causes_of_World_War_I,1916,16280000,1.0%,4,4,48,1700000000,8
"Although a resurgence of imperialism was an underlying cause, the immediate trigger for war was the 28 June 1914 assassination of Archduke Franz Ferdinand of Austria, heir to the throne of Austria-Hungary, by Yugoslav nationalist Gavrilo Princip in Sarajevo. This set off a diplomatic crisis when Austria-Hungary delivered an ultimatum to the Kingdom of Serbia, and international alliances formed over the previous decades were invoked. Within weeks, the major powers were at war and the conflict soon spread around the world.",Estimate complied from various sources. Killed + prisoners / missing.,1914-1918,1918,http://www.pbs.org/greatwar/resources/casdeath_pop.html,World population 1914.,,,,False,WORLD WAR I,GLOBAL,US Department of Justice,1914,"A ruinous conflict between Britain, Russia and France on one side, Germany, Italy & Austria-Hungary on the other.",years,WAR,,http://en.wikipedia.org/wiki/World_War_I and http://en.wikipedia.org/wiki/Causes_of_World_War_I,1917,16280000,1.0%,4,4,48,1700000000,8
"Although a resurgence of imperialism was an underlying cause, the immediate trigger for war was the 28 June 1914 assassination of Archduke Franz Ferdinand of Austria, heir to the throne of Austria-Hungary, by Yugoslav nationalist Gavrilo Princip in Sarajevo. This set off a diplomatic crisis when Austria-Hungary delivered an ultimatum to the Kingdom of Serbia, and international alliances formed over the previous decades were invoked. Within weeks, the major powers were at war and the conflict soon spread around the world.",Estimate complied from various sources. Killed + prisoners / missing.,1914-1918,1918,http://www.pbs.org/greatwar/resources/casdeath_pop.html,World population 1914.,,,,False,WORLD WAR I,GLOBAL,US Department of Justice,1914,"A ruinous conflict between Britain, Russia and France on one side, Germany, Italy & Austria-Hungary on the other.",years,WAR,,http://en.wikipedia.org/wiki/World_War_I and http://en.wikipedia.org/wiki/Causes_of_World_War_I,1918,16280000,1.0%,4,4,48,1700000000,8
"The desire and ability of Adolf Hitler, in control of Nazi Germany, to dominate Europe and gain control especially of the agrarian resources to the east of Germany was the primary cause. He was allied with the Empire of Japan, which desired to dominate Asia, including the much larger nation of China, as well as Italy (which had ambitions to control parts of the Balkans) and several smaller countries.",Estimate complied from various sources. Includes holocaust and other genocides.,1939-45,1945,http://necrometrics.com/20c5m.htm,World population 1939.,,,,False,WORLD WAR II,GLOBAL,Twentieth Century Atlas,1939,Adolf Hitler & Nazi Germany's attempt to dominate Europe began with an unprovoked invasion of Poland and ended six years later after 66 million had died.,years,WAR,,http://en.wikipedia.org/wiki/World_War_II,1939,66000000,2.9%,6,6,72,2300000000,8
"The desire and ability of Adolf Hitler, in control of Nazi Germany, to dominate Europe and gain control especially of the agrarian resources to the east of Germany was the primary cause. He was allied with the Empire of Japan, which desired to dominate Asia, including the much larger nation of China, as well as Italy (which had ambitions to control parts of the Balkans) and several smaller countries.",Estimate complied from various sources. Includes holocaust and other genocides.,1939-45,1945,http://necrometrics.com/20c5m.htm,World population 1939.,,,,False,WORLD WAR II,GLOBAL,Twentieth Century Atlas,1939,Adolf Hitler & Nazi Germany's attempt to dominate Europe began with an unprovoked invasion of Poland and ended six years later after 66 million had died.,years,WAR,,http://en.wikipedia.org/wiki/World_War_II,1940,66000000,2.9%,6,6,72,2300000000,8
"The desire and ability of Adolf Hitler, in control of Nazi Germany, to dominate Europe and gain control especially of the agrarian resources to the east of Germany was the primary cause. He was allied with the Empire of Japan, which desired to dominate Asia, including the much larger nation of China, as well as Italy (which had ambitions to control parts of the Balkans) and several smaller countries.",Estimate complied from various sources. Includes holocaust and other genocides.,1939-45,1945,http://necrometrics.com/20c5m.htm,World population 1939.,,,,False,WORLD WAR II,GLOBAL,Twentieth Century Atlas,1939,Adolf Hitler & Nazi Germany's attempt to dominate Europe began with an unprovoked invasion of Poland and ended six years later after 66 million had died.,years,WAR,,http://en.wikipedia.org/wiki/World_War_II,1941,66000000,2.9%,6,6,72,2300000000,8
"The desire and ability of Adolf Hitler, in control of Nazi Germany, to dominate Europe and gain control especially of the agrarian resources to the east of Germany was the primary cause. He was allied with the Empire of Japan, which desired to dominate Asia, including the much larger nation of China, as well as Italy (which had ambitions to control parts of the Balkans) and several smaller countries.",Estimate complied from various sources. Includes holocaust and other genocides.,1939-45,1945,http://necrometrics.com/20c5m.htm,World population 1939.,,,,False,WORLD WAR II,GLOBAL,Twentieth Century Atlas,1939,Adolf Hitler & Nazi Germany's attempt to dominate Europe began with an unprovoked invasion of Poland and ended six years later after 66 million had died.,years,WAR,,http://en.wikipedia.org/wiki/World_War_II,1942,66000000,2.9%,6,6,72,2300000000,8
"The desire and ability of Adolf Hitler, in control of Nazi Germany, to dominate Europe and gain control especially of the agrarian resources to the east of Germany was the primary cause. He was allied with the Empire of Japan, which desired to dominate Asia, including the much larger nation of China, as well as Italy (which had ambitions to control parts of the Balkans) and several smaller countries.",Estimate complied from various sources. Includes holocaust and other genocides.,1939-45,1945,http://necrometrics.com/20c5m.htm,World population 1939.,,,,False,WORLD WAR II,GLOBAL,Twentieth Century Atlas,1939,Adolf Hitler & Nazi Germany's attempt to dominate Europe began with an unprovoked invasion of Poland and ended six years later after 66 million had died.,years,WAR,,http://en.wikipedia.org/wiki/World_War_II,1943,66000000,2.9%,6,6,72,2300000000,8
"The desire and ability of Adolf Hitler, in control of Nazi Germany, to dominate Europe and gain control especially of the agrarian resources to the east of Germany was the primary cause. He was allied with the Empire of Japan, which desired to dominate Asia, including the much larger nation of China, as well as Italy (which had ambitions to control parts of the Balkans) and several smaller countries.",Estimate complied from various sources. Includes holocaust and other genocides.,1939-45,1945,http://necrometrics.com/20c5m.htm,World population 1939.,,,,False,WORLD WAR II,GLOBAL,Twentieth Century Atlas,1939,Adolf Hitler & Nazi Germany's attempt to dominate Europe began with an unprovoked invasion of Poland and ended six years later after 66 million had died.,years,WAR,,http://en.wikipedia.org/wiki/World_War_II,1944,66000000,2.9%,6,6,72,2300000000,8
