"Appendix Table 6a. Relative risks used by age and sex for each outcome for all risk factors except for ambient air pollution, alcohol, and smoking",,,,,,,,,,,,,,,,,,,,,,,,,,,
Risk - Outcome,Category / Units,Morbidity / Mortality,Sex,Ages,,,,,,,,,,,,,,,,,,,,,,,
,,,,All-age,0-6 days,7-27 days,28-364 days,1-4 years,5-9 years,10-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80-84 years,85-89 years,90-94 years,95+ years
Alzheimer's disease and other dementias,Diabetic,Both,Males,,,,,,,,,,"1.516
(1.084 to 2.295)","1.516
(1.084 to 2.295)","1.516
(1.084 to 2.295)","1.516
(1.084 to 2.295)","1.516
(1.084 to 2.295)","1.516
(1.084 to 2.295)","1.516
(1.084 to 2.295)","1.516
(1.084 to 2.295)","1.516
(1.084 to 2.295)","1.516
(1.084 to 2.295)","1.516
(1.084 to 2.295)","1.516
(1.084 to 2.295)","1.516
(1.084 to 2.295)","1.516
(1.084 to 2.295)","1.516
(1.084 to 2.295)"
Alzheimer's disease and other dementias,Diabetic,Both,Females,,,,,,,,,,"1.52
(1.08 to 2.301)","1.52
(1.08 to 2.301)","1.52
(1.08 to 2.301)","1.52
(1.08 to 2.301)","1.52
(1.08 to 2.301)","1.52
(1.08 to 2.301)","1.52
(1.08 to 2.301)","1.52
(1.08 to 2.301)","1.52
(1.08 to 2.301)","1.52
(1.08 to 2.301)","1.52
(1.08 to 2.301)","1.52
(1.08 to 2.301)","1.52
(1.08 to 2.301)","1.52
(1.08 to 2.301)","1.52
(1.08 to 2.301)"
Alzheimer's disease and other dementias,Not diabetic,Both,Males,,,,,,,,,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Alzheimer's disease and other dementias,Not diabetic,Both,Females,,,,,,,,,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Glaucoma,Diabetic,Both,Males,,,,,,,,,,"1.52
(1.098 to 2.325)","1.52
(1.098 to 2.325)","1.52
(1.098 to 2.325)","1.52
(1.098 to 2.325)","1.52
(1.098 to 2.325)","1.52
(1.098 to 2.325)","1.52
(1.098 to 2.325)","1.52
(1.098 to 2.325)","1.52
(1.098 to 2.325)","1.52
(1.098 to 2.325)","1.52
(1.098 to 2.325)","1.52
(1.098 to 2.325)","1.52
(1.098 to 2.325)","1.52
(1.098 to 2.325)","1.52
(1.098 to 2.325)"
Glaucoma,Diabetic,Both,Females,,,,,,,,,,"1.516
(1.08 to 2.328)","1.516
(1.08 to 2.328)","1.516
(1.08 to 2.328)","1.516
(1.08 to 2.328)","1.516
(1.08 to 2.328)","1.516
(1.08 to 2.328)","1.516
(1.08 to 2.328)","1.516
(1.08 to 2.328)","1.516
(1.08 to 2.328)","1.516
(1.08 to 2.328)","1.516
(1.08 to 2.328)","1.516
(1.08 to 2.328)","1.516
(1.08 to 2.328)","1.516
(1.08 to 2.328)","1.516
(1.08 to 2.328)"
Glaucoma,Not diabetic,Both,Males,,,,,,,,,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Glaucoma,Not diabetic,Both,Females,,,,,,,,,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Cataract,Diabetic,Both,Males,,,,,,,,,,"1.52
(1.09 to 2.259)","1.52
(1.09 to 2.259)","1.52
(1.09 to 2.259)","1.52
(1.09 to 2.259)","1.52
(1.09 to 2.259)","1.52
(1.09 to 2.259)","1.52
(1.09 to 2.259)","1.52
(1.09 to 2.259)","1.52
(1.09 to 2.259)","1.52
(1.09 to 2.259)","1.52
(1.09 to 2.259)","1.52
(1.09 to 2.259)","1.52
(1.09 to 2.259)","1.52
(1.09 to 2.259)","1.52
(1.09 to 2.259)"
Cataract,Diabetic,Both,Females,,,,,,,,,,"1.522
(1.094 to 2.289)","1.522
(1.094 to 2.289)","1.522
(1.094 to 2.289)","1.522
(1.094 to 2.289)","1.522
(1.094 to 2.289)","1.522
(1.094 to 2.289)","1.522
(1.094 to 2.289)","1.522
(1.094 to 2.289)","1.522
(1.094 to 2.289)","1.522
(1.094 to 2.289)","1.522
(1.094 to 2.289)","1.522
(1.094 to 2.289)","1.522
(1.094 to 2.289)","1.522
(1.094 to 2.289)","1.522
(1.094 to 2.289)"
Cataract,Not diabetic,Both,Males,,,,,,,,,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Cataract,Not diabetic,Both,Females,,,,,,,,,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
High LDL cholesterol,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ischaemic heart disease,mmol/L,Both,Both,,,,,,,,,,"2.016
(1.684 to 2.544)","2.027
(1.768 to 2.354)","2.038
(1.831 to 2.273)","1.971
(1.775 to 2.191)","1.828
(1.676 to 2.004)","1.685
(1.561 to 1.815)","1.541
(1.446 to 1.648)","1.398
(1.306 to 1.494)","1.254
(1.141 to 1.372)","1.193
(1.088 to 1.312)","1.213
(1.124 to 1.321)","1.262
(1.11 to 1.465)","1.262
(1.11 to 1.465)","1.262
(1.11 to 1.465)","1.262
(1.11 to 1.465)"
Ischaemic stroke,mmol/L,Both,Both,,,,,,,,,,"1.67
(1.334 to 2.339)","1.626
(1.352 to 2.041)","1.583
(1.342 to 1.849)","1.518
(1.287 to 1.76)","1.434
(1.242 to 1.636)","1.35
(1.212 to 1.514)","1.265
(1.164 to 1.391)","1.181
(1.109 to 1.299)","1.096
(1.043 to 1.223)","1.062
(1.008 to 1.193)","1.077
(1.012 to 1.216)","1.116
(1.014 to 1.344)","1.116
(1.014 to 1.344)","1.116
(1.014 to 1.344)","1.116
(1.014 to 1.344)"
High systolic blood pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rheumatic heart disease,10 mmHg,Both,Both,,,,,,,,,,"1.631
(1.174 to 2.306)","1.474
(1.17 to 1.898)","1.317
(1.144 to 1.575)","1.229
(1.089 to 1.422)","1.211
(1.101 to 1.367)","1.193
(1.107 to 1.328)","1.175
(1.101 to 1.287)","1.157
(1.086 to 1.265)","1.139
(1.055 to 1.248)","1.127
(1.048 to 1.241)","1.12
(1.06 to 1.238)","1.104
(1.04 to 1.28)","1.104
(1.04 to 1.28)","1.104
(1.04 to 1.28)","1.104
(1.04 to 1.28)"
Ischaemic heart disease,10 mmHg,Both,Both,,,,,,,,,,"1.972
(1.44 to 2.596)","1.818
(1.458 to 2.207)","1.665
(1.461 to 1.911)","1.568
(1.398 to 1.799)","1.527
(1.393 to 1.705)","1.487
(1.385 to 1.619)","1.446
(1.368 to 1.535)","1.405
(1.332 to 1.488)","1.364
(1.257 to 1.456)","1.33
(1.224 to 1.424)","1.303
(1.225 to 1.404)","1.266
(1.134 to 1.437)","1.266
(1.134 to 1.437)","1.266
(1.134 to 1.437)","1.266
(1.134 to 1.437)"
Ischaemic stroke,10 mmHg,Both,Both,,,,,,,,,,"1.854
(1.395 to 2.588)","1.774
(1.427 to 2.252)","1.694
(1.404 to 2.035)","1.628
(1.354 to 1.95)","1.574
(1.36 to 1.823)","1.521
(1.361 to 1.698)","1.468
(1.344 to 1.596)","1.414
(1.302 to 1.524)","1.361
(1.214 to 1.49)","1.318
(1.168 to 1.451)","1.284
(1.179 to 1.389)","1.201
(1.109 to 1.37)","1.201
(1.109 to 1.37)","1.201
(1.109 to 1.37)","1.201
(1.109 to 1.37)"
Intracerebral hemorrhage,10 mmHg,Both,Both,,,,,,,,,,"2.134
(1.555 to 2.919)","2.05
(1.593 to 2.648)","1.966
(1.589 to 2.465)","1.874
(1.492 to 2.302)","1.775
(1.484 to 2.114)","1.676
(1.446 to 1.932)","1.577
(1.402 to 1.754)","1.478
(1.331 to 1.619)","1.379
(1.207 to 1.54)","1.323
(1.162 to 1.495)","1.311
(1.193 to 1.45)","1.279
(1.126 to 1.515)","1.279
(1.126 to 1.515)","1.279
(1.126 to 1.515)","1.279
(1.126 to 1.515)"
Subarachnoid hemorrhage,10 mmHg,Both,Both,,,,,,,,,,"2.134
(1.555 to 2.919)","2.05
(1.593 to 2.648)","1.966
(1.589 to 2.465)","1.874
(1.492 to 2.302)","1.775
(1.484 to 2.114)","1.676
(1.446 to 1.932)","1.577
(1.402 to 1.754)","1.478
(1.331 to 1.619)","1.379
(1.207 to 1.54)","1.323
(1.162 to 1.495)","1.311
(1.193 to 1.45)","1.279
(1.126 to 1.515)","1.279
(1.126 to 1.515)","1.279
(1.126 to 1.515)","1.279
(1.126 to 1.515)"
Hypertensive heart disease,10 mmHg,Both,Both,,,,,,,,,,"2.862
(1.829 to 4.108)","2.838
(1.857 to 4.187)","2.814
(1.802 to 4.337)","2.703
(1.762 to 4.186)","2.504
(1.804 to 3.758)","2.304
(1.772 to 3.464)","2.105
(1.645 to 3.336)","1.905
(1.447 to 3.171)","1.706
(1.188 to 3.215)","1.619
(1.053 to 3.136)","1.644
(1.078 to 3.091)","1.708
(1.103 to 3.258)","1.708
(1.103 to 3.258)","1.708
(1.103 to 3.258)","1.708
(1.103 to 3.258)"
Non-rheumatic calcific aortic valve disease,10 mmHg,Both,Both,,,,,,,,,,"1.755
(1.266 to 2.423)","1.605
(1.293 to 2.011)","1.455
(1.278 to 1.642)","1.365
(1.232 to 1.51)","1.335
(1.222 to 1.449)","1.306
(1.219 to 1.394)","1.276
(1.212 to 1.342)","1.247
(1.183 to 1.303)","1.217
(1.131 to 1.284)","1.193
(1.116 to 1.263)","1.175
(1.12 to 1.237)","1.128
(1.071 to 1.235)","1.128
(1.071 to 1.235)","1.128
(1.071 to 1.235)","1.128
(1.071 to 1.235)"
Other cardiomyopathy,10 mmHg,Both,Both,,,,,,,,,,"1.755
(1.266 to 2.423)","1.605
(1.293 to 2.011)","1.455
(1.278 to 1.642)","1.365
(1.232 to 1.51)","1.335
(1.222 to 1.449)","1.306
(1.219 to 1.394)","1.276
(1.212 to 1.342)","1.247
(1.183 to 1.303)","1.217
(1.131 to 1.284)","1.193
(1.116 to 1.263)","1.175
(1.12 to 1.237)","1.128
(1.071 to 1.235)","1.128
(1.071 to 1.235)","1.128
(1.071 to 1.235)","1.128
(1.071 to 1.235)"
Atrial fibrillation and flutter,10 mmHg,Both,Both,,,,,,,,,,"1.76
(1.336 to 2.43)","1.631
(1.379 to 2.026)","1.503
(1.396 to 1.644)","1.423
(1.34 to 1.505)","1.392
(1.328 to 1.457)","1.361
(1.313 to 1.411)","1.33
(1.293 to 1.369)","1.299
(1.265 to 1.333)","1.268
(1.233 to 1.308)","1.237
(1.202 to 1.277)","1.208
(1.177 to 1.238)","1.134
(1.092 to 1.185)","1.134
(1.092 to 1.185)","1.134
(1.092 to 1.185)","1.134
(1.092 to 1.185)"
Aortic aneurysm,10 mmHg,Both,Both,,,,,,,,,,"1.544
(1.259 to 2.164)","1.469
(1.29 to 1.816)","1.394
(1.3 to 1.535)","1.345
(1.227 to 1.451)","1.321
(1.233 to 1.405)","1.296
(1.229 to 1.362)","1.272
(1.218 to 1.327)","1.248
(1.191 to 1.299)","1.223
(1.16 to 1.286)","1.2
(1.137 to 1.261)","1.177
(1.126 to 1.229)","1.119
(1.071 to 1.184)","1.119
(1.071 to 1.184)","1.119
(1.071 to 1.184)","1.119
(1.071 to 1.184)"
Peripheral vascular disease,10 mmHg,Both,Both,,,,,,,,,,"1.728
(1.203 to 2.428)","1.491
(1.206 to 1.87)","1.254
(1.182 to 1.329)","1.138
(1.019 to 1.263)","1.142
(1.047 to 1.243)","1.146
(1.071 to 1.224)","1.15
(1.094 to 1.208)","1.154
(1.11 to 1.199)","1.159
(1.113 to 1.207)","1.152
(1.104 to 1.201)","1.136
(1.098 to 1.176)","1.095
(1.054 to 1.154)","1.095
(1.054 to 1.154)","1.095
(1.054 to 1.154)","1.095
(1.054 to 1.154)"
Endocarditis,10 mmHg,Both,Both,,,,,,,,,,"1.755
(1.266 to 2.423)","1.605
(1.293 to 2.011)","1.455
(1.278 to 1.642)","1.365
(1.232 to 1.51)","1.335
(1.222 to 1.449)","1.306
(1.219 to 1.394)","1.276
(1.212 to 1.342)","1.247
(1.183 to 1.303)","1.217
(1.131 to 1.284)","1.193
(1.116 to 1.263)","1.175
(1.12 to 1.237)","1.128
(1.071 to 1.235)","1.128
(1.071 to 1.235)","1.128
(1.071 to 1.235)","1.128
(1.071 to 1.235)"
Other cardiovascular and circulatory diseases,10 mmHg,Both,Both,,,,,,,,,,"1.744
(1.339 to 2.396)","1.624
(1.384 to 2.006)","1.504
(1.405 to 1.626)","1.427
(1.354 to 1.498)","1.395
(1.336 to 1.452)","1.363
(1.318 to 1.406)","1.33
(1.296 to 1.365)","1.298
(1.266 to 1.332)","1.265
(1.231 to 1.303)","1.235
(1.201 to 1.27)","1.207
(1.177 to 1.235)","1.137
(1.095 to 1.187)","1.137
(1.095 to 1.187)","1.137
(1.095 to 1.187)","1.137
(1.095 to 1.187)"
Chronic kidney disease due to diabetes mellitus type 1,10 mmHg,Both,Both,,,,,,,,,,"1.283
(1.186 to 1.397)","1.283
(1.186 to 1.397)","1.283
(1.186 to 1.397)","1.283
(1.186 to 1.397)","1.283
(1.186 to 1.397)","1.283
(1.186 to 1.397)","1.283
(1.186 to 1.397)","1.283
(1.186 to 1.397)","1.283
(1.186 to 1.397)","1.283
(1.186 to 1.397)","1.283
(1.186 to 1.397)","1.283
(1.186 to 1.397)","1.283
(1.186 to 1.397)","1.283
(1.186 to 1.397)","1.283
(1.186 to 1.397)"
Chronic kidney disease due to diabetes mellitus type 2,10 mmHg,Both,Both,,,,,,,,,,"1.283
(1.186 to 1.397)","1.283
(1.186 to 1.397)","1.283
(1.186 to 1.397)","1.283
(1.186 to 1.397)","1.283
(1.186 to 1.397)","1.283
(1.186 to 1.397)","1.283
(1.186 to 1.397)","1.283
(1.186 to 1.397)","1.283
(1.186 to 1.397)","1.283
(1.186 to 1.397)","1.283
(1.186 to 1.397)","1.283
(1.186 to 1.397)","1.283
(1.186 to 1.397)","1.283
(1.186 to 1.397)","1.283
(1.186 to 1.397)"
Chronic kidney disease due to hypertension,10 mmHg,Both,Both,,,,,,,,,,"1.281
(1.18 to 1.385)","1.281
(1.18 to 1.385)","1.281
(1.18 to 1.385)","1.281
(1.18 to 1.385)","1.281
(1.18 to 1.385)","1.281
(1.18 to 1.385)","1.281
(1.18 to 1.385)","1.281
(1.18 to 1.385)","1.281
(1.18 to 1.385)","1.281
(1.18 to 1.385)","1.281
(1.18 to 1.385)","1.281
(1.18 to 1.385)","1.281
(1.18 to 1.385)","1.281
(1.18 to 1.385)","1.281
(1.18 to 1.385)"
Chronic kidney disease due to glomerulonephritis,10 mmHg,Both,Both,,,,,,,,,,"1.281
(1.182 to 1.383)","1.281
(1.182 to 1.383)","1.281
(1.182 to 1.383)","1.281
(1.182 to 1.383)","1.281
(1.182 to 1.383)","1.281
(1.182 to 1.383)","1.281
(1.182 to 1.383)","1.281
(1.182 to 1.383)","1.281
(1.182 to 1.383)","1.281
(1.182 to 1.383)","1.281
(1.182 to 1.383)","1.281
(1.182 to 1.383)","1.281
(1.182 to 1.383)","1.281
(1.182 to 1.383)","1.281
(1.182 to 1.383)"
Chronic kidney disease due to other and unspecified causes,10 mmHg,Both,Both,,,,,,,,,,"1.282
(1.181 to 1.395)","1.282
(1.181 to 1.395)","1.282
(1.181 to 1.395)","1.282
(1.181 to 1.395)","1.282
(1.181 to 1.395)","1.282
(1.181 to 1.395)","1.282
(1.181 to 1.395)","1.282
(1.181 to 1.395)","1.282
(1.181 to 1.395)","1.282
(1.181 to 1.395)","1.282
(1.181 to 1.395)","1.282
(1.181 to 1.395)","1.282
(1.181 to 1.395)","1.282
(1.181 to 1.395)","1.282
(1.181 to 1.395)"
High body-mass index in adults,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oesophageal cancer,5 kg/m2,Both,Males,,,,,,,,,"1.391
(1.077 to 1.754)","1.391
(1.077 to 1.754)","1.391
(1.077 to 1.754)","1.391
(1.077 to 1.754)","1.391
(1.077 to 1.754)","1.391
(1.077 to 1.754)","1.391
(1.077 to 1.754)","1.391
(1.077 to 1.754)","1.391
(1.077 to 1.754)","1.391
(1.077 to 1.754)","1.391
(1.077 to 1.754)","1.391
(1.077 to 1.754)","1.391
(1.077 to 1.754)","1.391
(1.077 to 1.754)","1.391
(1.077 to 1.754)","1.391
(1.077 to 1.754)"
Oesophageal cancer,5 kg/m2,Both,Females,,,,,,,,,"1.351
(1.012 to 1.745)","1.351
(1.012 to 1.745)","1.351
(1.012 to 1.745)","1.351
(1.012 to 1.745)","1.351
(1.012 to 1.745)","1.351
(1.012 to 1.745)","1.351
(1.012 to 1.745)","1.351
(1.012 to 1.745)","1.351
(1.012 to 1.745)","1.351
(1.012 to 1.745)","1.351
(1.012 to 1.745)","1.351
(1.012 to 1.745)","1.351
(1.012 to 1.745)","1.351
(1.012 to 1.745)","1.351
(1.012 to 1.745)","1.351
(1.012 to 1.745)"
Colon and rectum cancer,5 kg/m2,Both,Males,,,,,,,,,"1.177
(1.145 to 1.208)","1.177
(1.145 to 1.208)","1.177
(1.145 to 1.208)","1.177
(1.145 to 1.208)","1.177
(1.145 to 1.208)","1.177
(1.145 to 1.208)","1.177
(1.145 to 1.208)","1.177
(1.145 to 1.208)","1.177
(1.145 to 1.208)","1.177
(1.145 to 1.208)","1.177
(1.145 to 1.208)","1.177
(1.145 to 1.208)","1.177
(1.145 to 1.208)","1.177
(1.145 to 1.208)","1.177
(1.145 to 1.208)","1.177
(1.145 to 1.208)"
Colon and rectum cancer,5 kg/m2,Both,Females,,,,,,,,,"1.059
(1.031 to 1.083)","1.059
(1.031 to 1.083)","1.059
(1.031 to 1.083)","1.059
(1.031 to 1.083)","1.059
(1.031 to 1.083)","1.059
(1.031 to 1.083)","1.059
(1.031 to 1.083)","1.059
(1.031 to 1.083)","1.059
(1.031 to 1.083)","1.059
(1.031 to 1.083)","1.059
(1.031 to 1.083)","1.059
(1.031 to 1.083)","1.059
(1.031 to 1.083)","1.059
(1.031 to 1.083)","1.059
(1.031 to 1.083)","1.059
(1.031 to 1.083)"
Liver cancer due to hepatitis B,5 kg/m2,Both,Males,,,,,,,,,"1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)"
Liver cancer due to hepatitis B,5 kg/m2,Both,Females,,,,,,,,,"1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)"
Liver cancer due to hepatitis C,5 kg/m2,Both,Males,,,,,,,,,"1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)"
Liver cancer due to hepatitis C,5 kg/m2,Both,Females,,,,,,,,,"1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)"
Liver cancer due to alcohol use,5 kg/m2,Both,Males,,,,,,,,,"1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)"
Liver cancer due to alcohol use,5 kg/m2,Both,Females,,,,,,,,,"1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)"
Liver cancer due to other causes,5 kg/m2,Both,Males,,,,,,,,,"1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)","1.289
(1.109 to 1.491)"
Liver cancer due to other causes,5 kg/m2,Both,Females,,,,,,,,,"1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)","1.176
(1.03 to 1.334)"
Gallbladder and biliary tract cancer,5 kg/m2,Both,Males,,,,,,,,,"1.155
(1.033 to 1.281)","1.155
(1.033 to 1.281)","1.155
(1.033 to 1.281)","1.155
(1.033 to 1.281)","1.155
(1.033 to 1.281)","1.155
(1.033 to 1.281)","1.155
(1.033 to 1.281)","1.155
(1.033 to 1.281)","1.155
(1.033 to 1.281)","1.155
(1.033 to 1.281)","1.155
(1.033 to 1.281)","1.155
(1.033 to 1.281)","1.155
(1.033 to 1.281)","1.155
(1.033 to 1.281)","1.155
(1.033 to 1.281)","1.155
(1.033 to 1.281)"
Gallbladder and biliary tract cancer,5 kg/m2,Both,Females,,,,,,,,,"1.344
(1.223 to 1.477)","1.344
(1.223 to 1.477)","1.344
(1.223 to 1.477)","1.344
(1.223 to 1.477)","1.344
(1.223 to 1.477)","1.344
(1.223 to 1.477)","1.344
(1.223 to 1.477)","1.344
(1.223 to 1.477)","1.344
(1.223 to 1.477)","1.344
(1.223 to 1.477)","1.344
(1.223 to 1.477)","1.344
(1.223 to 1.477)","1.344
(1.223 to 1.477)","1.344
(1.223 to 1.477)","1.344
(1.223 to 1.477)","1.344
(1.223 to 1.477)"
Pancreatic cancer,5 kg/m2,Both,Males,,,,,,,,,"1.071
(0.999 to 1.153)","1.071
(0.999 to 1.153)","1.071
(0.999 to 1.153)","1.071
(0.999 to 1.153)","1.071
(0.999 to 1.153)","1.071
(0.999 to 1.153)","1.071
(0.999 to 1.153)","1.071
(0.999 to 1.153)","1.071
(0.999 to 1.153)","1.071
(0.999 to 1.153)","1.071
(0.999 to 1.153)","1.071
(0.999 to 1.153)","1.071
(0.999 to 1.153)","1.071
(0.999 to 1.153)","1.071
(0.999 to 1.153)","1.071
(0.999 to 1.153)"
Pancreatic cancer,5 kg/m2,Both,Females,,,,,,,,,"1.092
(1.037 to 1.144)","1.092
(1.037 to 1.144)","1.092
(1.037 to 1.144)","1.092
(1.037 to 1.144)","1.092
(1.037 to 1.144)","1.092
(1.037 to 1.144)","1.092
(1.037 to 1.144)","1.092
(1.037 to 1.144)","1.092
(1.037 to 1.144)","1.092
(1.037 to 1.144)","1.092
(1.037 to 1.144)","1.092
(1.037 to 1.144)","1.092
(1.037 to 1.144)","1.092
(1.037 to 1.144)","1.092
(1.037 to 1.144)","1.092
(1.037 to 1.144)"
